word,count
staff process delay,409
process take delay,401
public service staff,371
delay time take,327
good person job,312
federal public service,305
delay staff process,199
pool qualify candidate,195
entry level position,192
correct person job,174
process delay time,168
outside public service,166
take delay time,166
hire good person,165
write assessment interview,165
staff process take,159
service staff practice,156
new direction staff,148
transparent staff process,142
hire correct person,140
amount time take,139
level group level,136
time take success,127
staff process require,126
hire person base,119
time take hire,119
person act position,118
time take staff,118
public service commission,117
delay period time,116
complete staff process,110
correct person correct,109
good fit job,109
group level group,108
language requirement position,107
meet language requirement,106
national capital region,105
statement merit criterion,105
hire process delay,103
public service employee,103
process staff process,102
position staff process,101
staff process staff,97
act position year,96
good fit position,96
hire qualify person,96
delay hire process,94
run staff process,92
position public service,91
success staff process,90
talent management plan,90
process time consume,89
staff process hire,89
security clearance process,86
time staff process,86
delay time process,83
delay time success,81
english essential position,80
make staff process,79
pay_system pay system,78
current staff process,77
service staff process,77
staff process transparent,77
transparent hire process,76
hire process take,74
involve staff process,74
good applicant job,73
take delay hire,73
staff process time,71
hire base merit,70
language_requirement imperative position,69
lose good candidate,69
public service hire,69
global affair canada,68
staff process organization,68
take staff position,68
work public service,68
time take obtain,67
interview reference check,66
french language train,65
take delay staff,65
reduce amount time,64
qualify person job,63
accelerate staff process,62
good person position,62
group level level,62
hire person job,62
obtain letter offer,62
person good fit,62
public service job,62
staff process complete,62
employee act position,61
process fair transparent,61
process start finish,61
selection process delay,61
staff process person,61
staff process year,61
delay time staff,60
good qualify person,60
